Slice,Count,Total Area,Average Size,%Area,group
Experiment-373_s01,54,14077,260.685,0.198,-stimulation+THP1
Experiment-373_s02,25,9401,376.04,0.132,-stimulation+THP1
Experiment-373_s03,418,287033,686.682,4.042,-stimulation+THP1
Experiment-373_s04,273,238470,873.516,3.358,-stimulation+THP1
Experiment-373_s05,87,67627,777.322,0.952,-stimulation+THP1
Experiment-373_s06,515,403275,783.058,5.679,-stimulation+THP1
Experiment-373_s07,389,308094,792.015,4.339,-stimulation+THP1
Experiment-373_s08,74,57173,772.608,0.805,-stimulation+THP1
Experiment-373_s09,374,270139,722.297,3.804,-stimulation+THP1
Experiment-373_s10,677,560737,828.267,7.897,TNFa@2h
Experiment-373_s11,560,433548,774.193,6.106,TNFa@2h
Experiment-373_s12,732,611736,835.705,8.615,TNFa@2h
Experiment-373_s13,548,469324,856.431,6.609,TNFa@2h
Experiment-373_s14,662,573926,866.958,8.082,TNFa@2h
Experiment-373_s15,556,470197,845.678,6.622,TNFa@2h
Experiment-373_s16,944,824668,873.589,11.614,TNFa@2h
Experiment-373_s17,810,742042,916.101,10.45,TNFa@2h
Experiment-373_s18,545,484608,889.189,6.825,TNFa@2h
Experiment-373_s19,788,697604,885.284,9.824,LPS
Experiment-373_s20,344,283551,824.276,3.993,LPS
Experiment-373_s21,472,409512,867.61,5.767,LPS
Experiment-373_s22,214,178767,835.36,2.518,LPS
Experiment-373_s23,165,129549,785.145,1.824,LPS
Experiment-373_s24,497,416001,837.024,5.858,LPS
Experiment-373_s25,221,165803,750.24,2.335,LPS
Experiment-373_s26,170,122751,722.065,1.729,LPS
Experiment-373_s27,455,366557,805.62,5.162,LPS
Experiment-373_s28,136,74428,547.265,1.048,backup
Experiment-373_s29,41,19994,487.659,0.282,backup
Experiment-373_s30,204,117358,575.284,1.653,backup
Experiment-373_s31,183,145657,795.94,2.051,backup
Experiment-373_s32,92,54878,596.5,0.773,backup
Experiment-373_s33,349,244408,700.309,3.442,backup
Experiment-373_s34,128,75451,589.461,1.063,backup
Experiment-373_s35,59,34525,585.169,0.486,backup
Experiment-373_s36,121,64915,536.488,0.914,backup
Experiment-373_s37,718,579437,807.015,8.16,TNFa@4h
Experiment-373_s38,655,541062,826.049,7.62,TNFa@4h
Experiment-373_s39,835,673022,806.014,9.478,TNFa@4h
Experiment-373_s40,677,582533,860.462,8.204,TNFa@4h
Experiment-373_s41,857,755799,881.912,10.644,TNFa@4h
Experiment-373_s42,568,495823,872.928,6.983,TNFa@4h
Experiment-373_s43,1252,1018771,813.715,14.347,TNFa@4h
Experiment-373_s44,994,852126,857.27,12,TNFa@4h
Experiment-373_s45,579,484758,837.233,6.827,TNFa@4h
Experiment-373_s46,0,0,NaN,0,-THP
Experiment-373_s47,0,0,NaN,0,-THP
Experiment-373_s48,0,0,NaN,0,-THP
Experiment-373_s49,0,0,NaN,0,-THP
Experiment-373_s50,0,0,NaN,0,-THP
Experiment-373_s51,0,0,NaN,0,-THP
Experiment-373_s52,0,0,NaN,0,-THP
Experiment-373_s53,0,0,NaN,0,-THP
Experiment-373_s54,0,0,NaN,0,-THP
